keyword,keyword_group,url,estimated_daily_traffic,coverage traffic,latest_date,avg_rank,pagepath,custom_page_cate_id,custom_page_page_id,custom_page_province_id,custom_page_district_id,custom_page_ward_id,type,Cateype,search_by_location,include_gia,region,dup_check
căn hộ Đà Nẵng,Property Type + Location,/ban-can-ho-chung-cu-da-nang,9.868353845,0.502089302,44461,1.355769231,/ban-can-ho-chung-cu-da-nang,324,275,DDN,,,non-detect,chung cư,location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
Imperia An Phú,Project Name - HCM,/ban-can-ho-chung-cu-imperia-an-phu,9.847974158,0.502577292,44461,1.076923077,/ban-can-ho-chung-cu-imperia-an-phu,324,275,SG,54,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Nhà đất Biên Hòa,For Sale - Key District;Property Type + Location,/nha-dat-ban-bien-hoa-dna,9.8471235,0.503065239,44461,1.067307692,/nha-dat-ban-bien-hoa-dna,,,,,,non-detect,nha_general,quan,khong_gia,Others/non-detect,1
Charmington La Pointe,Project Name - HCM,/ban-can-ho-chung-cu-charmington-la-pointe,9.776646728,0.503549694,44461,1.076923077,/ban-can-ho-chung-cu-charmington-la-pointe,,,,,,non-detect,chung cư,non_detect,khong_gia,HCM,1
6th element,Project Name - Hanoi,/ban-can-ho-chung-cu-6th-element,9.77288358,0.504033963,44461,1.8,/ban-can-ho-chung-cu-6th-element,324,275,HN,6,,non-detect,chung cư,non_detect,khong_gia,HN,1
Intracom Riverside,Project Name - Hanoi,/ban-can-ho-chung-cu-intracom-riverside,9.772702138,0.504518223,44461,1.048076923,/ban-can-ho-chung-cu-intracom-riverside,324,275,HN,10,,non-detect,chung cư,non_detect,khong_gia,HN,1
Green Park,Project Name - Hanoi;Project Name - Other Cities,/ban-can-ho-chung-cu-green-park-tran-thu-do,9.734047526,0.505000567,44461,2.913461538,/ban-can-ho-chung-cu-green-park-tran-thu-do,324,275,HN,8,,non-detect,chung cư,non_detect,khong_gia,HN,1
Phú Hoàng Anh,Project Name - HCM,/ban-can-ho-chung-cu-phu-hoang-anh,9.698112686,0.50548113,44461,1.423076923,/ban-can-ho-chung-cu-phu-hoang-anh,324,275,SG,76,,non-detect,chung cư,non_detect,khong_gia,HCM,1
D'Edge Thảo Điền,-,/ban-can-ho-chung-cu-dedge-thao-dien,9.687177135,0.505961152,44461,1.32038835,/ban-can-ho-chung-cu-dedge-thao-dien,324,275,SG,54,,non-detect,"nghi duong, trang trai, khac",non-detect,khong_gia,Others/non-detect,1
geleximco lê trọng tấn,Project Name - Hanoi,/ban-nha-biet-thu-lien-ke-khu-do-thi-geleximco-le-trong-tan,9.6546934,0.506439564,44461,3,/ban-nha-biet-thu-lien-ke-khu-do-thi-geleximco-le-trong-tan,,,,,,non-detect,chung cư,non_detect,khong_gia,HN,1
Bán nhà Quận 1,For sale - HCM;For Sale - Key District,/ban-nha-rieng-quan-1,9.643286669,0.506917411,44461,1.105769231,/ban-nha-rieng-quan-1,41,276,SG,53,,For Sale,nha_general,quan,khong_gia,HCM,1
đất nền Long Thành,Property Type + Location,/ban-dat-nen-du-an-long-thanh-dna,9.634319525,0.507394813,44461,1.107843137,/ban-dat-nen-du-an-long-thanh-dna,40,279,DNA,238,,non-detect,dat_nen,location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
biệt thự Gò Vấp,Property Type + Location,/ban-nha-biet-thu-lien-ke-go-vap,9.630404291,0.507872022,44461,1.451923077,/ban-nha-biet-thu-lien-ke-go-vap,325,277,SG,67,,non-detect,Biet thu,location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
Gold Coast Nha Trang,Project Name - Other Cities,/ban-can-ho-chung-cu-gold-coast-nha-trang,9.625449512,0.508348985,44461,2.442307692,/ban-can-ho-chung-cu-gold-coast-nha-trang,324,275,KH,350,,non-detect,chung cư,non_detect,khong_gia,Others/non-detect,1
