keyword,keyword_group,url,estimated_daily_traffic,coverage traffic,latest_date,avg_rank,pagepath,custom_page_cate_id,custom_page_page_id,custom_page_province_id,custom_page_district_id,custom_page_ward_id,type,Cateype,search_by_location,include_gia,region,dup_check
Bat dong san,General Keywords,/,1890.114114,0.093659453,44461,1.01980198,/,,,,,,non-detect,"nghi duong, trang trai, khac",location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
Bất động sản,General Keywords,/,358.0416567,0.111401232,44461,1.144230769,/,,,,,,non-detect,"nghi duong, trang trai, khac",non-detect,khong_gia,Others/non-detect,1
chung cư,Property Type,/ban-can-ho-chung-cu,252.85824,0.123930933,44342,1.890909091,/ban-can-ho-chung-cu,,,,,,non-detect,chung cư,non_detect,khong_gia,Others/non-detect,1
Mua bán nhà đất,For Sale - General,/nha-dat-ban,184.7538284,0.133085905,44461,2.242718447,/nha-dat-ban,,,,,,For Sale,nha_general,non_detect,khong_gia,Others/non-detect,1
Nhà đất,Property Type,/nha-dat-ban,147.3374857,0.140386812,44461,1.252427184,/nha-dat-ban,,,,,,non-detect,nha_general,non_detect,khong_gia,Others/non-detect,1
Ban dat,For Sale - General,/ban-dat,97.37510196,0.14521197,44461,1.436893204,/ban-dat,283,280,null,,,non-detect,"nghi duong, trang trai, khac",location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
Bán đất,For Sale - General,/ban-dat,84.43101986,0.149395719,44461,1.737864078,/ban-dat,283,280,null,,,For Sale,dat,non_detect,khong_gia,Others/non-detect,1
Thuê nhà nguyên căn,For Rent - General,/cho-thue-nha-rieng-tp-hcm,83.48111689,0.153532398,44461,2.423076923,/cho-thue-nha-rieng-tp-hcm,,,,,,For Rent,nha_general,non_detect,khong_gia,Others/non-detect,1
Bán nhà,For Sale - General,/ban-nha-rieng,75.32942454,0.157265143,44461,1.525641026,/ban-nha-rieng,,,,,,For Sale,nha_general,non_detect,khong_gia,Others/non-detect,1
Cho thuê nhà,For Rent - General,/cho-thue-nha-rieng,72.0968575,0.160837706,44370,2.625,/cho-thue-nha-rieng,52,286,null,,,For Rent,nha_general,non_detect,khong_gia,Others/non-detect,1
Ecohome 3,Project Name - Hanoi,/ban-can-ho-chung-cu-ecohome-3,71.39926492,0.164375702,44461,1.076923077,/ban-can-ho-chung-cu-ecohome-3,,,,,,non-detect,chung cư,non_detect,khong_gia,HN,1
Nhà đất Hải Phòng,Property Type + Location,/nha-dat-ban-hai-phong,66.4898016,0.167670423,44461,1.288461538,/nha-dat-ban-hai-phong,,,,,,non-detect,nha_general,location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
nhà đất hà nội,Property Type + Location,/nha-dat-ban-ha-noi,61.623654,0.170724015,44461,1,/nha-dat-ban-ha-noi,,,,,,non-detect,nha_general,location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
Masteri Thảo Điền,Project Name - HCM,/ban-can-ho-chung-cu-masteri-thao-dien,55.3234422,0.173465418,44461,1.663461538,/ban-can-ho-chung-cu-masteri-thao-dien,324,275,SG,54,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Bán đất Long An,For Sale - City;For Sale - Key Ward,/ban-dat-long-an,55.14976154,0.176198214,44461,1.259615385,/ban-dat-long-an,283,280,LA,,,For Sale,dat,phuong xa,khong_gia,Others/non-detect,1
Cho thuê nhà nguyên căn,For Rent - General,/cho-thue-nha-rieng-tp-hcm,54.47750538,0.178897698,44461,2.528846154,/cho-thue-nha-rieng-tp-hcm,,,,,,For Rent,nha_general,non_detect,khong_gia,Others/non-detect,1
chung cư Thanh Hà,Property Type + Location,/ban-can-ho-chung-cu-khu-do-thi-thanh-ha-muong-thanh,51.46062808,0.181447689,44461,1.461538462,/ban-can-ho-chung-cu-khu-do-thi-thanh-ha-muong-thanh,324,275,HN,15,,non-detect,chung cư,location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
Mỹ Đình Pearl,Project Name - Hanoi,/ban-can-ho-chung-cu-my-dinh-pearl,49.72703306,0.183911777,44461,1.461538462,/ban-can-ho-chung-cu-my-dinh-pearl,324,275,HN,14,,non-detect,chung cư,non_detect,khong_gia,HN,1
Vista Verde,Project Name - HCM,/ban-can-ho-chung-cu-vista-verde,49.53419529,0.186366309,44461,1.009615385,/ban-can-ho-chung-cu-vista-verde,,,,,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Mua nha,For Sale - General,/ban-nha-rieng,47.46701055,0.188718407,44363,2.045454545,/ban-nha-rieng,,,,,,For Sale,"nghi duong, trang trai, khac",location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
Chung cư Đại Thanh,Project Name - Hanoi,/ban-can-ho-chung-cu-chung-cu-dai-thanh,47.38088248,0.191066238,44461,1.413461538,/ban-can-ho-chung-cu-chung-cu-dai-thanh,324,275,HN,13,,non-detect,chung cư,non_detect,khong_gia,HN,1
nhà trọ,Property Type,/cho-thue-nha-tro-phong-tro-tp-hcm,47.08144738,0.19339923,44461,3.942307692,/cho-thue-nha-tro-phong-tro-tp-hcm,,,,,,non-detect,Phòng trọ,non_detect,khong_gia,Others/non-detect,1
chung cư mini,Property Type,/tags/cho-thue/Thue-chung-cu-mini-gia-re-Ha-Noi,46.93805317,0.195725118,44461,3.851851852,/tags/cho-thue/Thue-chung-cu-mini-gia-re-Ha-Noi,,541,null,,,non-detect,chung cư,non_detect,khong_gia,Others/non-detect,1
Goldmark City,Project Name - Hanoi,/ban-can-ho-chung-cu-goldmark-city,46.57325751,0.198032928,44461,2.769230769,/ban-can-ho-chung-cu-goldmark-city,324,275,HN,718,,non-detect,chung cư,non_detect,khong_gia,HN,1
đất,Property Type,/ban-dat,46.13421671,0.200318984,44377,2.493150685,/ban-dat,283,280,null,,,non-detect,dat,non_detect,khong_gia,Others/non-detect,1
chung cư Hòa Bình,Property Type + Location,/ban-can-ho-chung-cu-hoa-binh-green-city,44.65186788,0.202531585,44461,1.990384615,/ban-can-ho-chung-cu-hoa-binh-green-city,324,275,HN,4,,non-detect,chung cư,location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
chung cư Quận 7,Property Type + Location,/ban-can-ho-chung-cu-quan-7,42.75548792,0.204650217,44461,1.375,/ban-can-ho-chung-cu-quan-7,,,,,,non-detect,chung cư,quan,khong_gia,Others/non-detect,1
Sunrise Riverside,Project Name - HCM,/ban-can-ho-chung-cu-sunrise-riverside,41.34556986,0.206698984,44461,1.894230769,/ban-can-ho-chung-cu-sunrise-riverside,324,275,SG,76,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Chung cư An Bình,Project Name - HCM,/ban-can-ho-chung-cu-an-binh-city,41.29777192,0.208745383,44461,1,/ban-can-ho-chung-cu-an-binh-city,324,275,HN,718,,non-detect,chung cư,non_detect,khong_gia,HCM,1
bán nhà hà nội,For Sale - City,/nha-dat-ban-ha-noi,41.082436,0.210781111,44461,1,/nha-dat-ban-ha-noi,,,,,,For Sale,nha_general,Province,khong_gia,Others/non-detect,1
chung cư hà nội,Property Type + Location,/ban-can-ho-chung-cu-ha-noi,41.082436,0.212816839,44461,1,/ban-can-ho-chung-cu-ha-noi,,,,,,non-detect,chung cư,location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
mua nhà hà nội,For Sale - City,/nha-dat-ban-ha-noi,41.082436,0.214852567,44461,1,/nha-dat-ban-ha-noi,,,,,,For Sale,nha_general,Province,khong_gia,Others/non-detect,1
Him Lam Phú An,Project Name - HCM,/ban-can-ho-chung-cu-him-lam-phu-an,40.72101799,0.216870386,44461,1.461538462,/ban-can-ho-chung-cu-him-lam-phu-an,324,275,SG,61,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Cho thuê văn phòng,-,/cho-thue-van-phong,40.26957804,0.218865835,44461,1.058823529,/cho-thue-van-phong,50,289,null,,,For Rent,"nghi duong, trang trai, khac",location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
saigon south residences,Project Name - HCM,/ban-can-ho-chung-cu-saigon-south-residences,40.129332,0.220854335,44461,1.4,/ban-can-ho-chung-cu-saigon-south-residences,324,275,SG,76,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Iris Garden,Project Name - Hanoi,/ban-can-ho-chung-cu-iris-garden,40.06909846,0.22283985,44461,1.028846154,/ban-can-ho-chung-cu-iris-garden,324,275,HN,14,,non-detect,chung cư,non_detect,khong_gia,HN,1
nhà riêng,Property Type,/ban-nha-rieng-tp-hcm,39.77653444,0.224810868,44461,2.027777778,/ban-nha-rieng-tp-hcm,,,,,,non-detect,nhà riêng,non_detect,khong_gia,Others/non-detect,1
Jamila Khang Điền,Project Name - HCM,/ban-can-ho-chung-cu-jamila-khang-dien,39.57085496,0.226771694,44461,1.096153846,/ban-can-ho-chung-cu-jamila-khang-dien,324,275,SG,61,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Anland Lake View,Project Name - Hanoi,/ban-can-ho-chung-cu-anland-lake-view,39.55939294,0.228731951,44160,1.294117647,/ban-can-ho-chung-cu-anland-lake-view,,,,,,non-detect,chung cư,non_detect,khong_gia,HN,1
căn hộ,Property Type,/ban-can-ho-chung-cu-tp-hcm,39.43728452,0.230686159,44461,1.417475728,/ban-can-ho-chung-cu-tp-hcm,324,227,SG,60,8783,non-detect,chung cư,non_detect,khong_gia,Others/non-detect,1
Imperia Sky Garden,Project Name - Hanoi,/ban-can-ho-chung-cu-imperia-sky-garden,39.35594834,0.232636335,44461,1.509615385,/ban-can-ho-chung-cu-imperia-sky-garden,,,,,,non-detect,chung cư,non_detect,khong_gia,HN,1
Mua nhà,For Sale - General,/ban-nha-rieng,38.82253259,0.23456008,44398,2.137931034,/ban-nha-rieng,,,,,,For Sale,nha_general,non_detect,khong_gia,Others/non-detect,1
Safira Khang Điền,Project Name - HCM,/ban-can-ho-chung-cu-safira-khang-dien,37.8072213,0.236433514,44461,2.009615385,/ban-can-ho-chung-cu-safira-khang-dien,324,275,SG,61,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Cho thue van phong,For Rent - General,/cho-thue-van-phong,36.24725822,0.238229648,44461,1.326732673,/cho-thue-van-phong,50,289,null,,,non-detect,"nghi duong, trang trai, khac",non-detect,khong_gia,Others/non-detect,1
vinhomes green bay,-,/ban-can-ho-chung-cu-vinhomes-green-bay-me-tri,35.98308734,0.240012692,44461,2.285714286,/ban-can-ho-chung-cu-vinhomes-green-bay-me-tri,324,275,null,,,non-detect,"nghi duong, trang trai, khac",non-detect,khong_gia,Others/non-detect,1
Nhà đất Đà Nẵng,Property Type + Location,/nha-dat-ban-da-nang,35.57731808,0.241775629,44461,1.5,/nha-dat-ban-da-nang,,86,DDN,,,non-detect,nha_general,location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
chung cư Quận 2,Property Type + Location,/ban-can-ho-chung-cu-quan-2,35.54780635,0.243537104,44461,1.365384615,/ban-can-ho-chung-cu-quan-2,,,,,,non-detect,chung cư,quan,khong_gia,Others/non-detect,1
Sunshine City,Project Name - Hanoi,/ban-can-ho-chung-cu-sunshine-city,35.54085142,0.245298234,44461,2.115384615,/ban-can-ho-chung-cu-sunshine-city,324,275,HN,718,,non-detect,chung cư,non_detect,khong_gia,HN,1
Masteri An Phú,Project Name - HCM,/ban-can-ho-chung-cu-masteri-an-phu,35.35029035,0.247049921,44461,1.394230769,/ban-can-ho-chung-cu-masteri-an-phu,324,275,SG,54,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Thuê chung cư mini,For Rent - General,/tags/cho-thue/Thue-chung-cu-mini-gia-re-Ha-Noi,35.30889538,0.248799557,44461,1.442307692,/tags/cho-thue/Thue-chung-cu-mini-gia-re-Ha-Noi,,541,null,,,For Rent,chung cư,non_detect,khong_gia,Others/non-detect,1
Vinhomes West Point,Project Name - Hanoi,/ban-can-ho-chung-cu-vinhomes-west-point,34.58463921,0.250513304,44461,2.096153846,/ban-can-ho-chung-cu-vinhomes-west-point,324,275,null,,,non-detect,chung cư,non_detect,khong_gia,HN,1
xuân mai complex,Project Name - Hanoi,/ban-can-ho-chung-cu-xuan-mai-complex,33.342968,0.252165524,44461,1,/ban-can-ho-chung-cu-xuan-mai-complex,324,275,HN,15,,non-detect,chung cư,non_detect,khong_gia,HN,1
Cho thuê phòng trọ,For Rent - General,/cho-thue-nha-tro-phong-tro-phuong-24,32.746544,0.25378819,44181,4,/cho-thue-nha-tro-phong-tro-phuong-24,57,288,SG,66,8899,For Rent,Phòng trọ,non_detect,khong_gia,Others/non-detect,1
Topaz Elite,Project Name - HCM,/ban-can-ho-chung-cu-topaz-elite,32.47884102,0.25539759,44461,1.673076923,/ban-can-ho-chung-cu-topaz-elite,324,275,SG,60,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Nhà đất Nam Định,Property Type + Location,/nha-dat-ban-nam-dinh,32.17107192,0.25699174,44461,1.721153846,/nha-dat-ban-nam-dinh,,,,,,non-detect,nha_general,location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
mua ban nha dat,For Sale - General,/nha-dat-ban,32.16897261,0.258585786,44461,2.173076923,/nha-dat-ban,,,,,,non-detect,"nghi duong, trang trai, khac",location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
Thuê nhà,For Rent - General,/cho-thue-nha-rieng-tp-hcm,31.56197653,0.260149754,44461,2.653846154,/cho-thue-nha-rieng-tp-hcm,,,,,,For Rent,nha_general,non_detect,khong_gia,Others/non-detect,1
Imperia Garden,Project Name - Hanoi,/ban-can-ho-chung-cu-imperia-garden,31.19130637,0.261695354,44461,1.086538462,/ban-can-ho-chung-cu-imperia-garden,,,,,,non-detect,chung cư,non_detect,khong_gia,HN,1
ehome 3,Project Name - HCM,/ban-can-ho-chung-cu-khu-can-ho-ehome-3,31.148436,0.26323883,44461,1.4,/ban-can-ho-chung-cu-khu-can-ho-ehome-3,324,275,SG,65,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Gelexia Riverside,Project Name - Hanoi,/ban-can-ho-chung-cu-gelexia-riverside,30.25180096,0.264737875,44461,1.471153846,/ban-can-ho-chung-cu-gelexia-riverside,324,275,HN,8,,non-detect,chung cư,non_detect,khong_gia,HN,1
louis city hoàng mai,Project Name - Hanoi,/ban-nha-biet-thu-lien-ke-louis-city-hoang-mai,30.242139,0.266236442,44461,2.8,/ban-nha-biet-thu-lien-ke-louis-city-hoang-mai,,,,,,non-detect,chung cư,non_detect,khong_gia,HN,1
Sunshine Garden,Project Name - Hanoi,/ban-can-ho-chung-cu-sunshine-garden,29.91908856,0.267719001,44461,2.125,/ban-can-ho-chung-cu-sunshine-garden,,,,,,non-detect,chung cư,non_detect,khong_gia,HN,1
Feliz En Vista,Project Name - HCM,/ban-can-ho-chung-cu-feliz-en-vista,29.60147042,0.269185821,44461,2.076923077,/ban-can-ho-chung-cu-feliz-en-vista,,,,,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Bán đất Đà Nẵng,For Sale - City,/ban-dat-da-nang,28.80056072,0.270612954,44461,1.326923077,/ban-dat-da-nang,283,280,DDN,,,For Sale,dat,Province,khong_gia,Others/non-detect,1
City Garden,Project Name - HCM;Project Name - Other Cities,/ban-can-ho-chung-cu-city-garden,28.35698953,0.272018108,44461,1.798076923,/ban-can-ho-chung-cu-city-garden,324,275,SG,66,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Bán nhà Long An,For Sale - City;For Sale - Key Ward,/nha-dat-ban-long-an,28.13256962,0.273412141,44461,1.365384615,/nha-dat-ban-long-an,,86,LA,,,For Sale,nha_general,phuong xa,khong_gia,Others/non-detect,1
Bán đất Đông Anh,-,/ban-dat-dong-anh,27.53184894,0.274776406,44461,1,/ban-dat-dong-anh,283,280,HN,10,,For Sale,dat,non_detect,khong_gia,Others/non-detect,1
Nhà đất Nha Trang,Property Type + Location,/nha-dat-ban-nha-trang-kh,27.53154949,0.276140657,44461,1,/nha-dat-ban-nha-trang-kh,,86,KH,350,,non-detect,nha_general,location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
bán đất đông anh,For sale - HN;For Sale - Key District,/ban-dat-dong-anh,27.52985693,0.277504824,44461,1,/ban-dat-dong-anh,283,280,HN,10,,For Sale,dat,quan,khong_gia,HN,1
Nhà đất Long An,Property Type + Location,/nha-dat-ban-long-an,27.45591615,0.278865327,44461,1.413461538,/nha-dat-ban-long-an,,86,LA,,,non-detect,nha_general,location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
La Astoria,Project Name - HCM,/ban-can-ho-chung-cu-la-astoria,27.16235012,0.280211284,44461,1,/ban-can-ho-chung-cu-la-astoria,324,275,SG,54,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Bán đất Quận 9,For sale - HCM;For Sale - Key District,/ban-dat-quan-9,26.86296026,0.281542404,44461,1.057692308,/ban-dat-quan-9,,,,,,For Sale,dat,quan,khong_gia,HCM,1
The Sun Avenue,Project Name - HCM,/ban-can-ho-chung-cu-the-sun-avenue,26.86187496,0.282873471,44461,1.970873786,/ban-can-ho-chung-cu-the-sun-avenue,324,275,SG,54,,non-detect,chung cư,non_detect,khong_gia,HCM,1
The Park Residence,Project Name - HCM,/ban-can-ho-chung-cu-the-park-residence,26.61667161,0.284192388,44461,1.105769231,/ban-can-ho-chung-cu-the-park-residence,324,275,SG,76,,non-detect,chung cư,non_detect,khong_gia,HCM,1
chung cư Quận 8,Property Type + Location,/ban-can-ho-chung-cu-quan-8,26.57628292,0.285509303,44461,1.086538462,/ban-can-ho-chung-cu-quan-8,,,,,,non-detect,chung cư,quan,khong_gia,Others/non-detect,1
Chung cư Bộ Công An,Project Name - HCM,/ban-can-ho-chung-cu-chung-cu-bo-cong-an,26.29417028,0.286812239,44461,1.413461538,/ban-can-ho-chung-cu-chung-cu-bo-cong-an,324,275,SG,54,,non-detect,chung cư,non_detect,khong_gia,HCM,1
phòng trọ,Property Type,/cho-thue-nha-tro-phong-tro-tp-hcm,25.85953562,0.288093638,44461,4.596153846,/cho-thue-nha-tro-phong-tro-tp-hcm,,,,,,non-detect,Phòng trọ,non_detect,khong_gia,Others/non-detect,1
Sunrise City,Project Name - HCM,/ban-can-ho-chung-cu-sunrise-city,25.48784992,0.289356619,44461,1.884615385,/ban-can-ho-chung-cu-sunrise-city,324,275,null,,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Felix Homes,Project Name - HCM,/ban-can-ho-chung-cu-felix-homes,25.36387637,0.290613457,44461,1.115384615,/ban-can-ho-chung-cu-felix-homes,324,275,SG,67,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Kingdom 101,Project Name - HCM,/ban-can-ho-chung-cu-kingdom-101,24.82098827,0.291843393,44461,1.701923077,/ban-can-ho-chung-cu-kingdom-101,324,275,SG,62,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Palm Heights,Project Name - HCM,/ban-can-ho-chung-cu-palm-heights,24.45483269,0.293055186,44461,1.817307692,/ban-can-ho-chung-cu-palm-heights,324,275,SG,54,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Hồ Gươm Plaza,Project Name - Hanoi,/ban-can-ho-chung-cu-ho-guom-plaza,23.83598019,0.294236313,44461,2.019230769,/ban-can-ho-chung-cu-ho-guom-plaza,324,275,HN,15,,non-detect,chung cư,non_detect,khong_gia,HN,1
Thuê nhà Hà Nội,For Rent - City,/cho-thue-nha-rieng-ha-noi,23.53132608,0.295402343,44461,1.692307692,/cho-thue-nha-rieng-ha-noi,52,286,HN,,,For Rent,nha_general,Province,khong_gia,Others/non-detect,1
Bán nhà Quận 12,For sale - HCM;For Sale - Key District,/ban-nha-rieng-quan-12,23.31923207,0.296557864,44461,1.459459459,/ban-nha-rieng-quan-12,,,,,,For Sale,nha_general,quan,khong_gia,HCM,1
Nhà đất Thái Bình,Property Type + Location,/nha-dat-ban-thai-binh,23.28212783,0.297711547,44461,1.365384615,/nha-dat-ban-thai-binh,,,,,,non-detect,nha_general,location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
đất Củ Chi,Property Type + Location,/ban-dat-cu-chi,22.90615672,0.298846599,44461,1.362745098,/ban-dat-cu-chi,,,,,,non-detect,dat,location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
Bán nhà đất Long An,For Sale - City,/nha-dat-ban-long-an,22.72213864,0.299972533,44461,1.413461538,/nha-dat-ban-long-an,,86,LA,,,For Sale,nha_general,Province,khong_gia,Others/non-detect,1
Nhà đất Hải Dương,Property Type + Location,/nha-dat-ban-hai-duong,22.65268112,0.301095024,44461,1.509615385,/nha-dat-ban-hai-duong,,86,HD,,,non-detect,nha_general,location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
King Palace,Project Name - Hanoi,/ban-can-ho-chung-cu-king-palace,22.62489047,0.302216139,44461,1.548076923,/ban-can-ho-chung-cu-king-palace,324,275,HN,5,,non-detect,chung cư,non_detect,khong_gia,HN,1
Khu đô thị Thanh Hà,Project Name - Other Cities,/ban-nha-biet-thu-lien-ke-khu-do-thi-thanh-ha-muong-thanh,22.424662,0.303327332,44342,6,/ban-nha-biet-thu-lien-ke-khu-do-thi-thanh-ha-muong-thanh,325,277,HN,15,,non-detect,chung cư,non_detect,khong_gia,Others/non-detect,1
Chung cư Ngô Gia Tự,Project Name - HCM,/ban-can-ho-chung-cu-chung-cu-ngo-gia-tu,22.41403112,0.304437998,44461,1.807692308,/ban-can-ho-chung-cu-chung-cu-ngo-gia-tu,324,275,SG,62,,non-detect,chung cư,non_detect,khong_gia,HCM,1
căn hộ Quận 7,Property Type + Location,/ban-can-ho-chung-cu-quan-7,22.13444634,0.305534811,44461,1.490384615,/ban-can-ho-chung-cu-quan-7,,,,,,non-detect,chung cư,quan,khong_gia,Others/non-detect,1
Nhà đất Quận 12,Property Type + Location,/ban-dat-quan-12,22.07345712,0.306628601,44461,1.549019608,/ban-dat-quan-12,283,280,SG,64,,non-detect,nha_general,quan,khong_gia,Others/non-detect,1
Eurowindow River Park,Project Name - Hanoi,/ban-can-ho-chung-cu-eurowindow-river-park,21.99728942,0.307718616,44461,2.423076923,/ban-can-ho-chung-cu-eurowindow-river-park,324,275,HN,10,,non-detect,chung cư,non_detect,khong_gia,HN,1
Việt Đức Complex,Project Name - Hanoi,/ban-can-ho-chung-cu-viet-duc-complex,21.98188656,0.308807869,44461,1,/ban-can-ho-chung-cu-viet-duc-complex,324,275,HN,5,,non-detect,chung cư,non_detect,khong_gia,HN,1
HPC Landmark 105,Project Name - Hanoi,/ban-can-ho-chung-cu-hpc-landmark-105,21.98174558,0.309897114,44461,1,/ban-can-ho-chung-cu-hpc-landmark-105,324,275,HN,15,,non-detect,chung cư,non_detect,khong_gia,HN,1
Roman Plaza,Project Name - Hanoi,/ban-can-ho-chung-cu-roman-plaza,21.9352301,0.310984055,44461,1.692307692,/ban-can-ho-chung-cu-roman-plaza,324,275,HN,14,,non-detect,chung cư,non_detect,khong_gia,HN,1
Vinhomes Skylake,Project Name - Hanoi,/ban-can-ho-chung-cu-vinhomes-skylake,21.86104904,0.31206732,44461,2.028846154,/ban-can-ho-chung-cu-vinhomes-skylake,324,275,HN,14,,non-detect,chung cư,non_detect,khong_gia,HN,1
Khu đô thị Việt Hưng,Project Name - Hanoi,/khu-do-thi-viet-hung-pj51,21.808136,0.313147962,44167,1.230769231,,,,,,,non-detect,chung cư,non_detect,khong_gia,HN,1
Bán nhà Gò Vấp,For sale - HCM;For Sale - Key District,/nha-dat-ban-go-vap,21.71019423,0.314223752,44461,1.567307692,/nha-dat-ban-go-vap,,,,,,For Sale,nha_general,quan,khong_gia,HCM,1
Green Town Bình Tân,Project Name - HCM,/ban-can-ho-chung-cu-green-town-binh-tan,21.70738072,0.315299402,44461,1.009615385,/ban-can-ho-chung-cu-green-town-binh-tan,,,,,,non-detect,chung cư,non_detect,khong_gia,HCM,1
hoàng anh thanh bình,Project Name - HCM,/ban-can-ho-chung-cu-hoang-anh-thanh-binh,21.6823964,0.316373814,44461,1,/ban-can-ho-chung-cu-hoang-anh-thanh-binh,324,275,SG,59,,non-detect,chung cư,non_detect,khong_gia,HCM,1
EHome 4,Project Name - Other Cities,/ban-can-ho-chung-cu-duong-quoc-lo-13-prj-ehome-4,21.517174,0.317440039,44391,2,/ban-can-ho-chung-cu-duong-quoc-lo-13-prj-ehome-4,324,275,BD,161,,non-detect,chung cư,non_detect,khong_gia,Others/non-detect,1
đất nền Bình Dương,Property Type + Location,/ban-dat-nen-du-an-binh-duong,21.26405606,0.318493721,44461,1.067307692,/ban-dat-nen-du-an-binh-duong,40,279,BD,,,non-detect,dat_nen,location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
Golden Palace,Project Name - Hanoi,/ban-can-ho-chung-cu-golden-palace,21.23542663,0.319545985,44461,1.480769231,/ban-can-ho-chung-cu-golden-palace,324,275,HN,14,,non-detect,chung cư,non_detect,khong_gia,HN,1
Hope Residence,Project Name - Hanoi,/ban-can-ho-chung-cu-hope-residence,21.0289316,0.320588016,44461,1.038461538,/ban-can-ho-chung-cu-hope-residence,324,275,HN,9,,non-detect,chung cư,non_detect,khong_gia,HN,1
Bán nhà Đà Nẵng,For Sale - City,/ban-nha-rieng-da-nang,20.75142304,0.321616296,44461,1.507042254,/ban-nha-rieng-da-nang,,,,,,For Sale,nha_general,Province,khong_gia,Others/non-detect,1
Kosmo Tây Hồ,Project Name - Hanoi,/ban-can-ho-chung-cu-kosmo-tay-ho,20.69788063,0.322641924,44461,1.490384615,/ban-can-ho-chung-cu-kosmo-tay-ho,324,275,HN,718,,non-detect,chung cư,non_detect,khong_gia,HN,1
vinhomes grand park,-,/ban-can-ho-chung-cu-vinhomes-grand-park-quan-9,20.60246224,0.323662822,44391,9.858974359,/ban-can-ho-chung-cu-vinhomes-grand-park-quan-9,,,,,,non-detect,"nghi duong, trang trai, khac",location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
vinhomes ocean park,-,/ban-can-ho-chung-cu-vinhomes-ocean-park-gia-lam,20.58634032,0.324682922,44461,9.744897959,/ban-can-ho-chung-cu-vinhomes-ocean-park-gia-lam,,,,,,non-detect,"nghi duong, trang trai, khac",non-detect,khong_gia,Others/non-detect,1
Nhà đất Bình Dương,Property Type + Location,/nha-dat-ban-binh-duong,20.51247213,0.325699362,44461,1.144230769,/nha-dat-ban-binh-duong,,86,BD,,,non-detect,nha_general,location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
thuê chung cư hà nội,For Rent - City,/cho-thue-can-ho-chung-cu-ha-noi,20.464072,0.326713403,44461,1.6,/cho-thue-can-ho-chung-cu-ha-noi,326,285,HN,,,For Rent,chung cư,Province,khong_gia,Others/non-detect,1
The Terra An Hưng,New project;Project Name - Hanoi,/ban-can-ho-chung-cu-the-terra-an-hung,20.19744703,0.327714233,44461,2.980769231,/ban-can-ho-chung-cu-the-terra-an-hung,324,275,HN,15,,non-detect,chung cư,non_detect,khong_gia,HN,1
đất nền Quận 9,Property Type + Location,/ban-dat-nen-du-an-quan-9,19.89154928,0.328699904,44461,1.215686275,/ban-dat-nen-du-an-quan-9,,,,,,non-detect,dat_nen,quan,khong_gia,Others/non-detect,1
chung cư Thủ Đức,Property Type + Location,/ban-can-ho-chung-cu-thu-duc,19.88691193,0.329685346,44461,1.211538462,/ban-can-ho-chung-cu-thu-duc,,,,,,non-detect,chung cư,location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
Ban nha,For Sale - General,/ban-nha-rieng,19.86877449,0.330669889,44454,1.301369863,/ban-nha-rieng,,,,,,non-detect,"nghi duong, trang trai, khac",location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
